"CLDR Short Name";"Code";"Browser"
"woman technologist: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F4BB";"👩🏽
💻"
"woman technologist: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F4BB";"👩🏾
💻"
"woman technologist: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F4BB";"👩🏿
💻"
"man singer";"U+1F468 U+200D U+1F3A4";"👨
🎤"
"man singer: light skin tone";"U+1F468 U+1F3FB U+200D U+1F3A4";"👨🏻
🎤"
"man singer: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F3A4";"👨🏼
🎤"
"man singer: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F3A4";"👨🏽
🎤"
"man singer: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F3A4";"👨🏾
🎤"
"man singer: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F3A4";"👨🏿
🎤"
"woman singer";"U+1F469 U+200D U+1F3A4";"👩
🎤"
"woman singer: light skin tone";"U+1F469 U+1F3FB U+200D U+1F3A4";"👩🏻
🎤"
"woman singer: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F3A4";"👩🏼
🎤"
"woman singer: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F3A4";"👩🏽
🎤"
"woman singer: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F3A4";"👩🏾
🎤"
"woman singer: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F3A4";"👩🏿
🎤"
"man artist";"U+1F468 U+200D U+1F3A8";"👨
🎨"
"man artist: light skin tone";"U+1F468 U+1F3FB U+200D U+1F3A8";"👨🏻
🎨"
"man artist: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F3A8";"👨🏼
🎨"
"man artist: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F3A8";"👨🏽
🎨"
"man artist: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F3A8";"👨🏾
🎨"
"man artist: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F3A8";"👨🏿
🎨"
"woman artist";"U+1F469 U+200D U+1F3A8";"👩
🎨"
"woman artist: light skin tone";"U+1F469 U+1F3FB U+200D U+1F3A8";"👩🏻
🎨"
"woman artist: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F3A8";"👩🏼
🎨"
"woman artist: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F3A8";"👩🏽
🎨"
"woman artist: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F3A8";"👩🏾
🎨"
"woman artist: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F3A8";"👩🏿
🎨"
"man pilot";"U+1F468 U+200D U+2708 U+FE0F";"👨
✈️"
"man pilot: light skin tone";"U+1F468 U+1F3FB U+200D U+2708 U+FE0F";"👨🏻
✈️"
"man pilot: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+2708 U+FE0F";"👨🏼
✈️"
"man pilot: medium skin tone";"U+1F468 U+1F3FD U+200D U+2708 U+FE0F";"👨🏽
✈️"
"man pilot: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+2708 U+FE0F";"👨🏾
✈️"
"man pilot: dark skin tone";"U+1F468 U+1F3FF U+200D U+2708 U+FE0F";"👨🏿
✈️"
"woman pilot";"U+1F469 U+200D U+2708 U+FE0F";"👩
✈️"
"woman pilot: light skin tone";"U+1F469 U+1F3FB U+200D U+2708 U+FE0F";"👩🏻
✈️"
"woman pilot: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+2708 U+FE0F";"👩🏼
✈️"
"woman pilot: medium skin tone";"U+1F469 U+1F3FD U+200D U+2708 U+FE0F";"👩🏽
✈️"
"woman pilot: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+2708 U+FE0F";"👩🏾
✈️"
"woman pilot: dark skin tone";"U+1F469 U+1F3FF U+200D U+2708 U+FE0F";"👩🏿
✈️"
"man astronaut";"U+1F468 U+200D U+1F680";"👨
🚀"
"man astronaut: light skin tone";"U+1F468 U+1F3FB U+200D U+1F680";"👨🏻
🚀"
"man astronaut: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F680";"👨🏼
🚀"
"man astronaut: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F680";"👨🏽
🚀"
"man astronaut: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F680";"👨🏾
🚀"
"man astronaut: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F680";"👨🏿
🚀"
"woman astronaut";"U+1F469 U+200D U+1F680";"👩
🚀"
"woman astronaut: light skin tone";"U+1F469 U+1F3FB U+200D U+1F680";"👩🏻
🚀"
"woman astronaut: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F680";"👩🏼
🚀"
"woman astronaut: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F680";"👩🏽
🚀"
"woman astronaut: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F680";"👩🏾
🚀"
